,Date of Birth,Information Source,Latitude,Longitude,Name,Place of Birth,Segment,Time Zone,Time of Birth
0,"Friday, June 14, 1946",Web,40 N 41,73 W 48,Donald Trump,Jamaica,businessman,-4.0,10:54:00
1,"Sunday, July 08, 1973",Dirty Data,25 N 58,76 E 9,Vijay Shekhar Sharma,Aligarh,businessman,5.5,00:00:00
2,"Wednesday, January 18, 1961",Dirty Data,30 N 19,76 E 49,Jay Mehta,Ambala,businessman,5.5,00:00:00
3,"Saturday, July 20, 1968",Dirty Data,22 N 30,88 E 20,Mohit Burman,Calcutta,businessman,5.5,00:00:00
4,"Wednesday, October 23, 1991",Internet,18 N 58,72 E 50,Akash Ambani,Mumbai,businessman,5.5,00:00:00
5,"Friday, April 09, 1926",Web,41 N 51,87 W 39,Hugh Hefner,Chicago,businessman,-6.0,16:20:00
6,"Thursday, December 15, 1892",Web,44 N 58,93 W 15,J. Paul Getty,Minneapolis MN,businessman,-5.0,08:43:00
7,"Sunday, December 18, 1955",Unknown,12 N 54,75 E 0,Vijay Mallya,Bantwal,businessman,5.5,11:30:00
8,"Friday, October 28, 1955",Astrology of Professions (Pathak),47 N 36,122 W 20,Bill Gates,Seattle,businessman,-8.0,20:58:00
9,"Thursday, June 04, 1959",Lagna Phal (Garg),18 N 58,72 E 50,Anil Ambani,Mumbai,businessman,5.5,22:30:00
10,"Friday, April 19, 1957",Astrology of Professions (Pathak),12 N 48,45 E 0,Mukesh Ambani,Aden Berek,businessman,3.0,19:53:00
11,"Tuesday, December 28, 1937",Astrology of Professions (Pathak),18 N 58,72 E 50,Ratan Tata,Mumbai,businessman,5.5,06:30:00
12,"Tuesday, October 13, 1942",Unknown,34 N 3,118 W 14,Jerry Jones,"118 W 14, 34 N 3",businessman,-8.0,04:58:59
13,"Sunday, June 24, 1962",Unknown,23 N 3,72 E 40,Gautam Adani,Ahmedabad,businessman,5.5,12:00:00
14,"Saturday, August 15, 1931",Unknown,28 N 30,77 E 49,Kushal Pal Singh,Bulandshahr,businessman,5.5,12:00:00
15,"Thursday, November 30, 1950",Unknown,29 N 10,75 E 45,Subhash Chandra,Hissar,businessman,5.5,12:00:00
16,"Wednesday, November 25, 1835",Internet,56 N 3,3 W 29,Andrew Carnegie,"3 W 29, 56 N 3",businessman,-0.25,06:00:00
17,"Saturday, July 29, 1950",Unknown,40 N 42,74 W 0,Naresh Goyal,New york,businessman,-5.0,12:00:00
18,"Sunday, May 01, 1955",Unknown,18 N 58,72 E 50,Anand Mahindra,Mumbai,businessman,5.5,12:00:00
19,"Thursday, July 04, 1963",Internet,42 N 21,71 W 4,Christopher Kennedy,"71 W 4, 42 N 21",businessman,-5.0,18:48:00
20,"Tuesday, December 31, 1878",Internet,43 N 46,79 W 35,Elizabeth Arden,"79 W 35, 43 N 46",businessman,-5.25,11:19:59
21,"Sunday, November 13, 1932",Internet,42 N 4,75 W 54,Marilyn Brooks,"75 W 54, 42 N 4",businessman,-5.0,18:35:00
22,"Friday, July 29, 1904",Astrology of Professions (Pathak),48 N 51,2 E 21,J. R. D. Tata,Paris,businessman,1.0,13:29:39
23,"Thursday, September 16, 1954",Finance And Profession (Raj Kumar),16 N 34,81 E 35,Byrraju Ramalinga Raju,Bhimavaram,businessman,5.5,11:19:00
24,"Monday, August 15, 1898",765 Notable Horoscopes,31 N 50,72 E 10,Mohan Singh Oberoi-1,Jhelum,businessman,5.0,23:55:00
25,"Sunday, June 28, 1903",765 Notable Horoscopes,18 N 34,73 E 58,S. L. Kirloskar,Pune,businessman,5.5,06:30:00
26,"Thursday, August 07, 1930",765 Notable Horoscopes,29 N 10,75 E 45,O. P. Jindal,Hissar,businessman,5.5,08:36:00
27,"Monday, October 04, 1880",Unknown,39 N 35,3 E 0,Juan March,"3 E 0, 39 N 35",businessman,0.25,16:00:00
28,"Friday, April 07, 1893",Astrology of Professions (Pathak),28 N 13,75 E 39,Ramkrishna Dalmia,Chirawa,businessman,5.5,11:09:23
29,"Wednesday, June 14, 1967",Astrology of Professions (Pathak),22 N 30,88 E 20,Kumar Mangalam Birla,Calcutta,businessman,5.5,08:45:00
30,"Monday, November 11, 1918",765 Notable Horoscopes,28 N 22,75 E 32,Krishna Kumar Birla,Pilani,businessman,5.5,07:13:00
31,"Saturday, April 14, 1894",Astrology of Professions (Pathak),28 N 22,75 E 36,Ghanshyam Das Birla,Pilani,businessman,5.5,03:21:36
32,"Friday, June 10, 1938",Astrology of Professions (Pathak),22 N 30,88 E 20,Rahul Bajaj,Calcutta,businessman,5.5,04:46:41
33,"Monday, November 04, 1889",Astrology of Professions (Pathak),27 N 35,75 E 10,Jamnalal Bajaj,Sikar,businessman,5.5,08:29:19
34,"Wednesday, December 28, 1932",Astrology of Professions (Pathak),20 N 53,70 E 28,Dhirubhai Ambani,Veraval,businessman,5.5,06:37:00
35,"Saturday, September 27, 1919",Internet,30 N 25,87 W 12,Charles Percy,"87 W 12, 30 N 25",businessman,-6.0,03:39:59
36,"Wednesday, September 24, 1952",Internet,42 N 21,71 W 7,Joseph Patrick Ii Kennedy,"71 W 7, 42 N 21",businessman,-5.0,12:15:00
37,"Sunday, September 24, 1905",Web,29 N 46,95 W 21,Howard Hughes,"95 W 21, 29 N 46",businessman,-6.0,22:12:00
38,"Monday, November 07, 1927",Unknown,35 N 0,135 E 45,Hiroshi Yamauchi,Kyoto,businessman,9.0,12:00:00
39,"Tuesday, September 09, 1975",Unknown,51 N 30,0 W 5,Raj Kundra,London,businessman,0.0,12:00:00
